CUSTNAME;STREET;ZIPCODE;CITY;COUNTRY;VATNUMB;CUSTLANG;COMP;CUSTNUMB;DOCNUMB;DOCAMOUNT;DOCDATE;DUEDATE;PHONENUMBER;EMAILADDRESS;COMMENTS
SOREMARTEC SERV COMPTABILITE SA;FBC RTE DE TREVES COMPLEXE C;2633;SENNINGERBERG GDLUX;LU;LU26273002;F;3040;1001376;3307012151; 717.84 ;9/01/2014;9/01/2014;0;;
DBST ;RUE DE PONT REMY 27;2423;LUXEMBOURG GDLUX;LU;LU19709852;F;3040;1145053;3307008887; 690.00 ;20/02/2013;20/02/2013;0;;
DBST ;RUE DE PONT REMY 27;2423;LUXEMBOURG GDLUX;LU;LU19709852;F;3040;1145053;3307012873; 690.00 ;21/02/2014;21/02/2014;0;;
DBST ;RUE DE PONT REMY 27;2423;LUXEMBOURG GDLUX;LU;LU19709852;F;3040;1145053;3307009822; 690.00 ;17/05/2013;17/05/2013;0;;
DBST ;RUE DE PONT REMY 27;2423;LUXEMBOURG GDLUX;LU;LU19709852;F;3040;1145053;3307010791; 690.00 ;20/08/2013;20/08/2013;0;;
DBST ;RUE DE PONT REMY 27;2423;LUXEMBOURG GDLUX;LU;LU19709852;F;3040;1145053;3307011784; 690.00 ;20/11/2013;20/11/2013;0;;
MEDIA PLANNING LU SARL ;RTE DE WILWERDANGE 31A;9911;TROIS VIERGES;LU;LU18234573;F;3040;1143664;3307012559; 646.42 ;21/01/2014;21/01/2014;000352269976;;
MEDIA PLANNING LU SARL ;RTE DE WILWERDANGE 31A;9911;TROIS VIERGES;LU;LU18234573;F;3040;1143664;3307012874; 646.42 ;21/02/2014;21/02/2014;000352269976;;
MEDIA PLANNING LU SARL ;RTE DE WILWERDANGE 31A;9911;TROIS VIERGES;LU;LU18234573;F;3040;1143664;3307013178; 646.42 ;21/03/2014;21/03/2014;000352269976;;
MEDIA PLANNING LU SARL ;RTE DE WILWERDANGE 31A;9911;TROIS VIERGES;LU;LU18234573;F;3040;1143664;3307011463; 646.42 ;21/10/2013;21/10/2013;000352269976;;
MEDIA PLANNING LU SARL ;RTE DE WILWERDANGE 31A;9911;TROIS VIERGES;LU;LU18234573;F;3040;1143664;3307011791; 646.42 ;20/11/2013;20/11/2013;000352269976;;
MEDIA PLANNING LU SARL ;RTE DE WILWERDANGE 31A;9911;TROIS VIERGES;LU;LU18234573;F;3040;1143664;3307012092; 646.42 ;19/12/2013;19/12/2013;000352269976;;
DBST ;RUE DE PONT REMY 27;2423;LUXEMBOURG GDLUX;LU;LU19709852;F;3040;1145053;3307009137; 643.29 ;8/03/2013;8/03/2013;0;;
DBST ;RUE DE PONT REMY 27;2423;LUXEMBOURG GDLUX;LU;LU19709852;F;3040;1145053;3307010023; 643.29 ;7/06/2013;7/06/2013;0;;
DBST ;RUE DE PONT REMY 27;2423;LUXEMBOURG GDLUX;LU;LU19709852;F;3040;1145053;3307010981; 643.29 ;5/09/2013;5/09/2013;0;;
DBST ;RUE DE PONT REMY 27;2423;LUXEMBOURG GDLUX;LU;LU19709852;F;3040;1145053;3307011969; 643.29 ;6/12/2013;6/12/2013;0;;
GT MANAGEMENT SARL ;HAMELOST 2A B 34;9544;WILTZ GD LUX;LU;0;F;3040;1153740;3307012185; 612.49 ;9/01/2014;9/01/2014;0475268493;;
GT MANAGEMENT SARL ;HAMELOST 2A B 34;9544;WILTZ GD LUX;LU;0;F;3040;1153740;3307011430; 612.49 ;8/10/2013;8/10/2013;0475268493;;
FCPE ;RUE DU CURE 13;1661;LUXEMBOURG;LU;LU18451720;F;3040;1145421;3307013054; 604.44 ;7/03/2014;7/03/2014;0;;
FCPE ;RUE DU CURE 13;1661;LUXEMBOURG;LU;LU18451720;F;3040;1145421;3307010064; 604.44 ;7/06/2013;7/06/2013;0;;
FCPE ;RUE DU CURE 13;1661;LUXEMBOURG;LU;LU18451720;F;3040;1145421;3307011015; 604.44 ;5/09/2013;5/09/2013;0;;
FCPE ;RUE DU CURE 13;1661;LUXEMBOURG;LU;LU18451720;F;3040;1145421;3307011988; 604.44 ;6/12/2013;6/12/2013;0;;
LVM SECURITY SARL ;RUE DE L EGLISE 8;4732;PETANGE;LU;LU23430456;F;3040;1144435;3307012239; 552.00 ;9/01/2014;9/01/2014;0;;
LVM SECURITY SARL ;RUE DE L EGLISE 8;4732;PETANGE;LU;LU23430456;F;3040;1144435;3307009437; 552.00 ;5/04/2013;5/04/2013;0;;
LVM SECURITY SARL ;RUE DE L EGLISE 8;4732;PETANGE;LU;LU23430456;F;3040;1144435;3307010385; 552.00 ;5/07/2013;5/07/2013;0;;
LVM SECURITY SARL ;RUE DE L EGLISE 8;4732;PETANGE;LU;LU23430456;F;3040;1144435;3307011342; 552.00 ;8/10/2013;8/10/2013;0;;
JFT CONSULTING SA ;GRAND RUE 82;9711;CLERVAUX GDLUX;LU;LU25836284;F;3040;1153857;3307013084; 495.42 ;7/03/2014;7/03/2014;003271778100;;
JFT CONSULTING SA ;GRAND RUE 82;9711;CLERVAUX GDLUX;LU;LU25836284;F;3040;1153857;3307012048; 495.42 ;6/12/2013;6/12/2013;003271778100;;
CGM INTERNATIONAL SA ;OP DER HAART 4A;9999;WEMPERHARDT GDLUX;LU;LU25357716;F;3040;1152181;3307009089; 420.90 ;8/03/2013;8/03/2013;0;;
CGM INTERNATIONAL SA ;OP DER HAART 4A;9999;WEMPERHARDT GDLUX;LU;LU25357716;F;3040;1152181;3307013072; 420.90 ;7/03/2014;7/03/2014;0;;
CGM INTERNATIONAL SA ;OP DER HAART 4A;9999;WEMPERHARDT GDLUX;LU;LU25357716;F;3040;1152181;3307007186; 420.90 ;11/09/2012;11/09/2012;0;;
CGM INTERNATIONAL SA ;OP DER HAART 4A;9999;WEMPERHARDT GDLUX;LU;LU25357716;F;3040;1152181;3307011053; 420.90 ;5/09/2013;5/09/2013;0;;
CGM INTERNATIONAL SA ;OP DER HAART 4A;9999;WEMPERHARDT GDLUX;LU;LU25357716;F;3040;1152181;3307008103; 420.90 ;11/12/2012;11/12/2012;0;;
CGM INTERNATIONAL SA ;OP DER HAART 4A;9999;WEMPERHARDT GDLUX;LU;LU25357716;F;3040;1152181;3307012043; 420.90 ;6/12/2013;6/12/2013;0;;
BRUCHER ELECTRICITE ;RUE DE BITBOURG 7;1273;HAMM LUXEMBOURG GDLUX;LU;0;F;3040;1000737;3307012744; 416.82 ;7/02/2014;7/02/2014;00352438080;;
BRUCHER ELECTRICITE ;RUE DE BITBOURG 7;1273;HAMM LUXEMBOURG GDLUX;LU;0;F;3040;1000737;3307011699; 416.82 ;8/11/2013;8/11/2013;00352438080;;
JONES LANG LASALLE LUXEMBOURG SECS ;RUE DU PUITS ROMAIN 41;8070;BERTRANGE GD LUX;LU;LU13752217;F;3040;1142273;3307013095; 346.63 ;7/03/2014;7/03/2014;00352464540;;
JONES LANG LASALLE LUXEMBOURG SECS ;RUE DU PUITS ROMAIN 41;8070;BERTRANGE GD LUX;LU;LU13752217;F;3040;1142273;3307012135; 265.65 ;9/01/2014;9/01/2014;00352464540;;
JONES LANG LASALLE LUXEMBOURG SECS ;RUE DU PUITS ROMAIN 41;8070;BERTRANGE GD LUX;LU;LU13752217;F;3040;1142273;3307011375; 265.65 ;8/10/2013;8/10/2013;00352464540;;
GT MANAGEMENT SARL ;HAMELOST 2A B 34;9544;WILTZ GD LUX;LU;0;F;3040;1153740;3307011128; 183.75 ;20/09/2013;20/09/2013;0475268493;;
ARAL TANKSTELLEN SERVICES SARL ;RTE DE LONGWY 36;8080;BERTRANGE GDLUX;LU;LU18219815;F;3040;1145387;3307012771; 141.45 ;7/02/2014;7/02/2014;422722;;
ARAL TANKSTELLEN SERVICES SARL ;RTE DE LONGWY 36;8080;BERTRANGE GDLUX;LU;LU18219815;F;3040;1145387;3307011680; 141.45 ;8/11/2013;8/11/2013;422722;;
DBST ;RUE DE PONT REMY 27;2423;LUXEMBOURG GDLUX;LU;LU19709852;F;3040;1145053;3307013189; 129.42 ;28/03/2014;28/03/2014;0;;
CGM INTERNATIONAL SA ;OP DER HAART 4A;9999;WEMPERHARDT GDLUX;LU;LU25357716;F;3040;1152181;3307006932; 112.24 ;29/08/2012;29/08/2012;0;;
ARAL TANKSTELLEN SERVICES SARL ;RTE DE LONGWY 36;8080;BERTRANGE GDLUX;LU;LU18219815;F;3040;1145387;3380700844; -78.48 ;13/11/2013;13/11/2013;422722;;
MEDIA PLANNING LU SARL ;RTE DE WILWERDANGE 31A;9911;TROIS VIERGES;LU;LU18234573;F;3040;1143664;3380700779; -132.22 ;10/09/2013;10/09/2013;000352269976;;
SAM HWA STEEL SA ;KRAKELSHAFF;3235;BETTEMBOURG GDLUX;LU;LU19882802;F;3040;1146866;CDE CDE1 13233; -241.24 ;4/12/2013;4/12/2013;03522652681;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
