Num;"Date ouverture";"Resp ouverture";"Date saisie";"Respsaisie";Date r_solution;"Resp r_solution";Diff Open close;Mois;"Ncmde";"N≠ Facture";"Total net facture";Montant Net _ cr_diter;N client;"Cat_gorie client ";"D_nominationclient";Ref client;N≠bon retour;Identif. classement;N≠ fax client;N≠ tel  client;"Causelitige";Dep cause ltige;Description litige;;Nom du d_l_gue;Marque;Nom encodeuse;"Codearticle";D_nomination article;"Quantit_Produits";Description litige;Departement 1;Date action 1;Description 1;Check 1;Departement 2;Date action 2;Description 2;Check2;Close date;Check;Contr_le logistique ;Extra info;N≠ note de cr_dit;"Nouvellefacture";Code solution;"Date Relanc_";NCR MED NOMBRE;Dossier d_gat ;Ref dossier d_gats;Info NC transporteur 
2188;14/05/14;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2014/05;;;;14,55;460005;6. GROSSISTES;FEBELCO CV;AP/35180;;F GRO;0032/27560522;0032/27560520;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;;515289;A-ELUAGE EMUL 30ML;1;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;ELUAGE EMULSION POMP DEFECT;0040001501-7;;4. Nvlle cmde + NC;;;;;
2189;19/05/14;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2014/05;;;;14,04;460005;6. GROSSISTES;FEBELCO CV;AP/25498;;F GRO;0032/27560522;0032/27560520;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;;518313;A-YSTHE+ CR 30ML;1;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;YSTHEAL CR POMP DEFECT.;0040001502-7;;4. Nvlle cmde + NC;;;;;
2190;29/01/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/01;1350000218;301253;2.077,61;10,63;3040;6. GROSSISTES;CERP SA;01/046593;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;VIVIANE;515335;D-ICTYA LT 500ML;1;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUE 1 PCS ICTYANE LT NC - RECU 1 AD GEL MOUSS A FACTURER;0040001503-7;0030019758-3;4. Nvlle cmde + NC;;;;;
2191;14/02/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/02;1350000455;303244;8.219,85;47,41;3040;6. GROSSISTES;CERP SA;01/047348;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;ARIANE;510172;ZD-KERTYOL PSO CR 100ML**;6;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;PAS RECU 6 KERTYOLS PSO CR NC - RECU 6 SQUANORM A FACTURER;0040001504-7;0030019759-3;4. Nvlle cmde + NC;;;;;
2192;13/03/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/03;1350000771;306093;2.481,83;45,46;3040;6. GROSSISTES;CERP SA;01/048839;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;VIVIANE;515113;C-EXO CR BARRIERE 100ML;6;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUE 6 EXOM CR BARRIERE NC;0040001505-7;;4. Nvlle cmde + NC;;;;;
2193;28/03/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/03;1350000923;308237;1.530,20;32,68;3040;6. GROSSISTES;CERP SA;01/049549;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;VIVIANE;512514;ZK-BB GEL DOUC MOUS 500**;6;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUE 6 X KL BB GEL MOUSS NC;0040001506-7;;4. Nvlle cmde + NC;;;;;
2194;27/03/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/03;1350000928;308424;6.031,98;46,68;3040;6. GROSSISTES;CERP SA;01/049551;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;VIVIANE;515584;A-CLEAN AC CR LAV 200ML;6;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUE 6 PCS CLEAN CR LAV NC;0040001507-7;;4. Nvlle cmde + NC;;;;;
2195;25/05/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/05;1350001714;313642;7.814,22;126,4;3040;6. GROSSISTES;CERP SA;01/052354;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;ARIANE;511367;A-SAR FORT CONCENTRE 30ML;12;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;PAS RECU 12 SAR CONC FORT NC - RECU 12 X COUV A FACTURER ;0040001508-7;0030019765-3;4. Nvlle cmde + NC;;;;;
2196;19/07/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/07;1350002351;318655;5.494,10;105,39;3040;6. GROSSISTES;CERP SA;01/055305;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;VIVIANE;PLUSIEURS;0;12;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUE 6 X CLEAN AC ET 6 X LT THP 50 + NC;0040001509-7;;4. Nvlle cmde + NC;;;;;
2197;23/07/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/07;1350002442;319069;958,9;258,93;3040;6. GROSSISTES;CERP SA;01/055763;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;VIVIANE;649083;ZA-SPR SPF20 200ML FA**;24;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;PAS RECU 24 SPR SPF 20 NC - RECU 24 X AP SOLEIL 400 ML A FACTURER;0040001510-7;0030019769-3;4. Nvlle cmde + NC;;;;;
2198;29/07/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/07;1350002520;319444;1.643,14;9,18;3040;6. GROSSISTES;CERP SA;01/056086;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;VIVIANE;522216;K-SHP PIVOINE+DE##;2;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUE 2 PCS NC;0040001511-7;;4. Nvlle cmde + NC;;;;;
2199;13/08/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/08;1350002811;320363;1.516,65;82,79;3040;6. GROSSISTES;CERP SA;03/008953;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;VIVIANE;522980;ZD-KERTYOL PSO SHP ST**;12;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;PAS RECU 12 X KERTYOL PSO SH NC - RECU 12 X SQUANORM A FACTURER;0040001512-7;0030019771-3;4. Nvlle cmde + NC;;;;;
2200;28/08/13;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2013/08;1350002997;322287;2.891,62;367,17;3040;6. GROSSISTES;CERP SA;03/009407;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;ALESSANDRA;PLUSIEURS;0;36;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUE 24 X HYDR LEG UV ET 12 X MASQ AP 50 ML NC;0040001513-7;;4. Nvlle cmde + NC;;;;;
2201;3/02/14;ENZA;2/07/14;ENZA;5/11/14;Audrey;cloture;2014/02;30006928;342626;3.510,35;145,33;3040;6. GROSSISTES;CERP SA;04/014036;201400401;C GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;ARIANE;PLUSIEURS;PLUSIEURS;11;;ADV;3/07/14;Facturation des produits livr_s en trop T1;;Transp;3/07/14;Demande enlèvement transporteur;;15/07/14;;;RECU 6 CREASTIM LOT ET 5 SENSIFLUIDE LT DEMAQ 75 ML PAS CDE RETOUR + NC;40002788;;13. NC voir retour stock;;;;;
2202;5/02/14;ENZA;2/07/14;ENZA;5/11/14;Audrey;cloture;2014/02;30005592;341782;6.208,58;270,86;3040;6. GROSSISTES;CERP SA;04/012773;201400402;C GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;ARIANE;519128;D-CREASTIM LOT 2x30ML##;12;;ADV;3/07/14;Facturation des produits livr_s en trop T1;;Transp;3/07/14;Demande enlèvement transporteur;;15/07/14;;;RECU 12 CREASTIM LOT PAS CDE RETOUR + NC;40002796;;13. NC voir retour stock;;;;;
2203;25/02/14;ENZA;2/07/14;ENZA;5/11/14;Audrey;cloture;2014/02;30008897;344742;1.483,10;111,94;3040;6. GROSSISTES;CERP SA;01/066464;201400403;C GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;AUDREY;643316;F-CARTH MASQ DOUC 200ML;6;;ADV;3/07/14;Facturation des produits livr_s en trop T1;;Transp;3/07/14;Demande enlèvement transporteur;;15/07/14;;;RECU 6 MASQ CARTHAME RF PAS CDE - RETOUR + NC;40002783;;13. NC voir retour stock;;;;;
2203;25/02/14;ENZA;3/07/14;ENZA;3/07/14;ENZA;cloture;2014/02;30008897;344742;1.483,10;110,25;3040;;;01/066464;;C GRO;;;2. Trop peu - Cr_diter;Picking;Erreur produit;;GROSSISTE;N/A;AUDREY;522217;;24;;;;;3/07/14;;;;3/07/14;;3/07/14;;MANQUE 24 PCS NC litige 2210;0040001515-8;;;;;;;
2204;18/03/14;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2014/03;30008313;344189;2.055,82;17,9;3040;6. GROSSISTES;CERP SA;04/015570;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;ARIANE;649584;K-GEL DCH BON HUMEUR 200;6;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUANT A LA LIVR NC;0040001514-8;;4. Nvlle cmde + NC;;;;;
2205;13/03/14;ENZA;3/07/14;ENZA;5/11/14;Audrey;cloture;2014/03;30009826;347129;7.680,34;105,39;3040;6. GROSSISTES;CERP SA;01/067056;201400406;C GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;ARIANE;521859;A-CR HP30 50ML 14;12;;ADV;4/07/14;Facturation des produits livr_s en trop T1;;Transp;4/07/14;Demande enlèvement transporteur;;16/07/14;;;PAS CDE RETOUR + NC;40002779;;13. NC voir retour stock;;;;;
2206;26/03/14;ENZA;3/07/14;ENZA;5/11/14;Audrey;cloture;2014/03;30011086;348973;1.794,23;231,05;3040;6. GROSSISTES;CERP SA;01/067964;201400407;C GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;AMINA;641265;K-CR AP SHP CAMO 150ML;48;;ADV;4/07/14;Facturation des produits livr_s en trop T1;;Transp;4/07/14;Demande enlèvement transporteur;;16/07/14;;;PAS CDE RETOUR + NC;40002793;;13. NC voir retour stock;;;;;
2207;11/04/14;ENZA;3/07/14;ENZA;3/07/14;ENZA;cloture;2014/04;30012613;350871;394,63;27,56;3040;6. GROSSISTES;CERP SA;03/017014;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;STEPHANIE;515364;K-SHP AMANDE 200ML;6;;ADV;4/07/14;VOIR ACTION 2;3/07/14;Transp;4/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);3/07/14;16/07/14;3/07/14;;MANQUE 6 SH AMANDE  NC - RECU 6 SH CAPUCINE A LA PLACE A FACTURER;0040001517-8;0030019910-1;4. Nvlle cmde + NC;;;;;
2208;16/04/14;ENZA;3/07/14;ENZA;;;205;2014/04;30013073;351161;7.555,74;321,44;3040;6. GROSSISTES;CERP SA;04/020382;201400408;C GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;ARIANE;PLUSIEURS;PLUSIEURS;18;;ADV;4/07/14;Facturation des produits livr_s en trop T1;;Transp;4/07/14;Demande enlèvement transporteur;;16/07/14;;;RECU 6 SENSIPH MASQ ET 12 CREASTIM PAS CDE RETOUR+ NC;;;13. NC voir retour stock;;;;;
2209;25/04/14;ENZA;3/07/14;ENZA;18/09/14;IMAN;cloture;2014/04;30013296;351380;6.042,54;67,74;3040;1;CERP SA;04/020716;201400409;C GRO;0; ;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;ARIANE;518797;A-TRIX+ CR 400ML;6;;ADV;4/07/14;VOIR ACTION 2;;Transp;4/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);;16/07/14;;4/sep;MANQUE 6 TRIX CR 400 ML - RECU 6 LPI PROMO 300 ML PAS CDE RETOUR + NC;40002107;0030019917-1;4. Nvlle cmde + NC;;;;;
2210;16/04/14;ENZA;3/07/14;ENZA;3/07/14;ENZA;cloture;2014/04;30013093;351163;8.958,58;52,69;3040;6. GROSSISTES;CERP SA;01/069059;;C GRO;0032/23462335;0032/23490235;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;ARIANE;521956;A-CR 50+ SS PARF 50ML 14;6;;ADV;4/07/14;VOIR ACTION 2;3/07/14;Transp;4/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);3/07/14;16/07/14;3/07/14;;MANQUE 6 CR 50 + SS PARF 50 ML A LA LIVR NC;0040001519-8;;4. Nvlle cmde + NC;;;;;
2211;18/04/14;ENZA;3/07/14;ENZA;5/11/14;Audrey;cloture;2014/04;30013299;351382;1.788,49;111,94;3040;6. GROSSISTES;CERP SA;01/069322;201400410;C GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;ARIANE;643316;F-CARTH MASQ DOUC 200ML;6;;ADV;4/07/14;Facturation des produits livr_s en trop T1;;Transp;4/07/14;Demande enlèvement transporteur;;16/07/14;;;RECU 6 MASQ CARTHAME RF PAS CDE - RETOUR + NC;40002782;;13. NC voir retour stock;;;;;
2212;6/05/14;ENZA;3/07/14;ENZA;5/11/14;Audrey;cloture;2014/05;30014548;354291;3.209,03;73,76;3040;6. GROSSISTES;CERP SA;01/070028;201400411;C GRO;0; ;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;ARIANE;512285;C-EXO BAUME 400ML;6;;ADV;4/07/14;VOIR ACTION 2;;Transp;4/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);;16/07/14;;;MANQUE 6 EXOMEGA BAUME 400 ML NC - RECU 6 EXOMEGA LT RETOUR + NC;40002773;0030019921-1;4. Nvlle cmde + NC;;;;;
2213;2/05/14;ENZA;3/07/14;ENZA;5/11/14;Audrey;cloture;2014/05;30015942;356154;2.329,11;104,7;3040;6. GROSSISTES;CERP SA;03/018350;201400412;C GRO;0; ;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;AUDREY;521619;D-KELUAL DS CR 40ML;18;;ADV;4/07/14;VOIR ACTION 2;;Transp;4/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);;16/07/14;;;PAS RECU 18 X KELUAL DS CR NC - RECU A LA PLACE 18 KELUAL EMULSIONRETOUR + NC;40002778;0030019923-1;4. Nvlle cmde + NC;;;;;
2214;17/06/14;QUENTIN;3/07/14;;;;143;2014/06;;;;;4617;3. PHARMA;PHARMA SANTE SCRL;;;P GRO;0; ;5. P_rim_s;Commercial;Demande de reprise;5. P_rim_sCommercialDemande de reprise;GROSSISTE;N/A;;PLUSIEURS;PLUSIEURS;83;;Transp;4/07/14;Demande enlèvement transporteur;;ADV;4/07/14;Etablir NC T8 entrepot 17;;16/07/14;;;MANQUE 3 X NUTR SH 200ML ET 3 X SH LT AV 200 ML - RECU 3 X SH NUTR. 300ML PAS CDE;;0030019787-1/0030019786-1;2. NC sans r_int_gration;;;;;
2215;17/06/14;QUENTIN;3/07/14;;;;143;2014/06;;;;;4617;3. PHARMA;PHARMA SANTE SCRL;;;P GRO;0; ;5. P_rim_s;Commercial;Demande de reprise;5. P_rim_sCommercialDemande de reprise;GROSSISTE;N/A;;PLUSIEURS;PLUSIEURS;123;;Transp;4/07/14;Demande enlèvement transporteur;;ADV;4/07/14;Etablir NC T8 entrepot 17;;16/07/14;;;;;;2. NC sans r_int_gration;;;;;
2216;19/06/14;QUENTIN;3/07/14;AMINA;23/07/14;AMINA;cloture;2014/06;30017816;359597;398,72;76,41;3258;3. PHARMA;PCIE CAVALIER-MOURAD;;;C PH;.;0032/42339365;1. Trop peu - faire suivre;Commercial;Encodage;1. Trop peu - faire suivreCommercialEncodage;THIERRY DELHALLE;DUCRAY - A-DERMA;;526792;C-KDO PRIMA GEL LAV 200ML;12;;ADV;4/07/14;Nvlle cmde T1 ;23/07/14;Transp;4/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);23/07/14;16/07/14;23/07/14;;CLIENT PAS RECU KDO PRIMALBA;;30021069;8. Nvlle cmde ;;;;;
2217;12/06/14;QUENTIN;3/07/14;;9/10/14;Audrey;cloture;2014/06;30015447;355583;663,69;28,73;8610;3. PHARMA;APOT PAESHUYS (AFS CV);;;P PH;0; ;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;LOTTE LEPAGE;AVENE;;510014;A-COUV MOZAIQ TRANSLUC;3;;ADV;4/07/14;Cde +/- et refact T1 des produits livr_ en trop;;Transp;4/07/14;Demande enlèvement transporteur;;16/07/14;;;;;30026603;4. Nvlle cmde + NC;;;;;
